tool_id,tool_group_name,tool_group_code,instrument_type
10,SURFACE TESTER MASTER,SURTES,INSTRUMENT
9,BEVEL PROTRACTOR,PRO,INSTRUMENT
8,DIGITAL MICROMETER,DMMM,INSTRUMENT
7,BLADE MICROMETER,BMM,INSTRUMENT
6,BALL MICROMETER,MM,INSTRUMENT
5,AIR RING GAUGE,ARG,INSTRUMENT
4,AIR PLUG GAUGE,APG,INSTRUMENT
3,AIR GAUGE UNIT,AGU,INSTRUMENT
2,VERNIER CALIPER,VC,INSTRUMENT
1,DEPTH MICROMETER,DMM,INSTRUMENT
